route_id,origin_city,destination_city,distance_km,trucks_per_day,capacity_units_per_day,utilization_pct,transit_hrs,partner_count,transport_mode,status
R001,Mumbai,Pune,95,18,3800,63,4,4,Surface,Active
R002,Delhi,Jaipur,232,29,4219,70,7,5,Air,Active
R003,Bengaluru,Chennai,369,40,4638,77,10,6,Rail,Active
R004,Mumbai,Delhi,1395,51,5057,84,13,4,Surface,Active
R005,Delhi,Lucknow,532,62,5476,91,16,5,Air,Active
R006,Hyderabad,Chennai,629,40,5895,63,19,6,Rail,Active
R007,Kolkata,Patna,576,51,6200,70,22,4,Surface,Active
R008,Mumbai,Nashik,166,62,3980,77,25,5,Air,Active
R009,Pune,Aurangabad,232,18,4399,84,28,6,Rail,Active
R010,Jaipur,Lucknow,329,29,4818,91,4,4,Surface,Active
R011,Kochi,Bengaluru,560,40,5237,63,7,5,Air,Active
R012,Ahmedabad,Mumbai,534,51,5656,70,10,6,Rail,Active
R013,Bhopal,Delhi,693,62,6075,77,13,4,Surface,Active
R014,Patna,Kolkata,576,18,3800,84,16,5,Air,Active
R015,Bhubaneswar,Kolkata,440,29,4219,91,19,6,Rail,Active
R016,Guwahati,Kolkata,985,40,4638,63,22,4,Surface,Active
R017,Chennai,Kochi,700,51,5057,70,25,5,Air,Active
R018,Hyderabad,Bengaluru,568,62,5476,77,28,6,Rail,Active
R019,Ahmedabad,Jaipur,650,18,5895,84,4,4,Surface,Active
R020,Delhi,Patna,994,29,6200,91,7,5,Air,Active
R021,Mumbai,Hyderabad,711,40,3980,63,10,6,Rail,Active
R022,Bhopal,Pune,740,51,4399,70,13,4,Surface,Active
R023,Lucknow,Patna,300,62,4818,77,16,5,Air,Active
R024,Chennai,Bhubaneswar,1100,18,5237,84,19,6,Rail,Active
R025,Delhi,Ahmedabad,950,29,5656,91,22,4,Surface,Active
